author,published_at,like_count,text,public
@Ipank049,2026-03-15T19:00:49Z,0,Penguasa dan Pelaksana Program MBG menjadi Penguasa Naga ke 10 (dari Penguasa 9 Naga),TRUE
@Tmsaja873,2026-03-15T11:15:42Z,0,anaknya makan 1x bapaknya penganguran..,TRUE
@fakhrieofisial4819,2026-03-15T07:36:34Z,0,"Rusak lah negara kalau Nepotisme, korupsi semakin terang terangan di pelihara.. MBG sudah di siapkan untuk melanggengkan kekuasaan.. Bangsat kan... Ancur negara indonesia....",TRUE
@sudaryadidar1358,2026-03-14T08:23:35Z,0,Programpresiden jokowi. Berobat gratid banyak penyakit dn mati program prabowo MBG. DEMUA PROGRAM VARUT MARUT TK NERES,TRUE
@KokGiniAmat,2026-03-14T06:33:38Z,0,Maling Berkedok Gizi,TRUE
@Vivoo1819,2026-03-13T11:22:29Z,0,BANYAK X YAYASAN YG MENANGANI MBG SEPERTI BAGI2 AMPAU,TRUE
@hadihartono1970,2026-03-13T06:46:23Z,0,Hidup kapitalis birokrat,TRUE
@santanasa7179,2026-03-08T16:21:03Z,0,😂😂😂 ganti MAKAN RACUN GRATIS😂,TRUE
@user-xw8fn9tr3q,2026-03-08T04:02:00Z,0,BETUL SEKALI... UNTUK PILPRES...,TRUE
@sanesane1483,2026-03-05T07:38:26Z,1,Alhamdulillah.. makasihh proyek Mbg.. saya jadi ada pekerjaan di bulan Ramadhan ini,TRUE
@maillll7436,2026-03-05T04:08:06Z,0,"gw dr awal udah firasat ni program ga bener, dipaksakan &amp; pasti ga akan bener nantinya",TRUE
@selitaglorya9410,2026-03-05T03:24:31Z,0,"sekarang gimana rakyat Indonesia, adakah pahlawan yg berani berjuang utk bangsa Indonesia. berani melawan penjajahan bangsa sendiri. berani melawan antek asing",TRUE
@priyoidn2759,2026-03-04T23:52:11Z,0,MBG = Menu Bancakan ala Gerinda,TRUE
@andrisetiadi413,2026-03-04T13:25:17Z,0,Biadab,TRUE
@Pardjinem,2026-03-04T10:48:25Z,0,Haus ambisi kekuasaan lur,TRUE
@Pardjinem,2026-03-04T10:46:58Z,0,"KatanyA cuma lx aja, tapi mbg di demo ngga mau stop, itulah nafsu manusia haus keluadaan",TRUE
@Pardjinem,2026-03-04T10:44:10Z,0,"Duh yg premrintah sekr blm kelar dah mikir yad, apa kata dunia ya?",TRUE
@siregarhariman2064,2026-03-04T10:14:14Z,0,koperasi MP juga,TRUE
@puskesmasbpjs-cc9mt,2026-03-03T11:28:48Z,0,Konten yang menarik dan bisa membangun wawasan bangsa indonesia agar lebih kritis<br>Cuma sayang untuk presentasi jangan terlalu formal seperti di depan pejabat <br>Coba review youtuber seperti rumah editor dan kamar film dokumentasi bagus presentasi bagus di youtube<br>Tetap semangat kak saya dukung kontennya jangan lupa cantumkan refrensi agar bisa dilakukan crosscheck ya,TRUE
@titolaga4238,2026-03-03T11:27:42Z,1,Ora nguros omonganmu,TRUE
@titolaga4238,2026-03-03T11:27:07Z,0,Ora nguros omonganmu,TRUE
@maswowo007,2026-03-03T08:01:11Z,0,"Saya berdoa setiap hari agar rejim MBG ini segera Tuhan Hancurkan dengan caranya sendiri dan saya yakin dalam waktu dekat doa saya terkabul, terang-terangan kamu bikin praktik ketidakadilan sosial bagi seluruh rakyat Indonesia, mau dibelakang mu sejuta ulama juga satu doa orang teraniaya keturunan para raja akan lebih terkabul dibanding doa orang-orang tak berguna itu",TRUE
@Dybanyumas,2026-03-02T22:54:24Z,0,Betul kata bos Ahok.. Bagi duit saja per siswa 450k.. ❤,TRUE
@kunkodi4409,2026-03-02T21:02:56Z,0,Usut para pelaksana mbg yg korup malakin d muka tender. Dan tangksp adili. <br><br>Ini bikin kualitas mbg anak sekolañ kualitas rendah dan mengecil habis seperti makanan burung dan kucing.,TRUE
@cartenz-id,2026-03-02T18:14:32Z,0,"kalian tau anjing? anjing liar bisa dijinakkan dgn cara dikasih makan? begitulah negara ini memperlakukan rakyatnya, bukan nya meningkatkan kwalitas pendidikan negara ehh rakyat malah diperlakukan kek &quot;anjing&quot; yg cukup dikenyangkan perutnya lalu diam.. selama ini ada yg tau takaran GIZI yg dikasih oleh mereka?",TRUE
@EmanRahman-e7v,2026-03-02T10:05:00Z,0,Kalau 1 kali aja makan untuk mbg gak usah disalurkan nanti malam anak anak kita juga makan kok drmh malam dia makan 3 kali sehari,TRUE
